,imageid,Object ID,Parent,X_centroid,Y_centroid,leiden_Res0.3
11232,20_09_N2_R2,55ddc60d-e739-42d1-8d76-d9a6ac6e3e12,Capsule/Sinus/Medulla,3138.4,2218.7,9
11233,20_09_N2_R2,7c88690d-10e5-4e4d-afac-6d778eb920e8,Capsule/Sinus/Medulla,1449.8,2219.2,9
11234,20_09_N2_R2,698289bc-518a-4ce0-ae5c-b33cd37f2437,Capsule/Sinus/Medulla,893.09,2220.4,9
11235,20_09_N2_R2,c0fe94b1-eb8d-4ea5-987a-3dbd972925c1,Capsule/Sinus/Medulla,758.4,2222.6,9
11237,20_09_N2_R2,d169d3d1-3024-463f-9ddb-ad3c5b05440b,Capsule/Sinus/Medulla,3280.9,2223.7,5
11238,20_09_N2_R2,49ed7d2b-ecea-4a62-a607-68d3b5a1acfc,Capsule/Sinus/Medulla,2488.8,2226.0,5
11239,20_09_N2_R2,8c848ca4-28f6-48b4-9c7b-5421ecf385e4,Capsule/Sinus/Medulla,3050.8,2226.5,5
11240,20_09_N2_R2,9256a666-1c9f-4639-b5c6-93b7761261f7,Capsule/Sinus/Medulla,3102.1,2226.6,5
11241,20_09_N2_R2,6d49c763-e910-4c20-b9a6-d2a3cca30f26,Capsule/Sinus/Medulla,986.19,2227.1,9
11242,20_09_N2_R2,f25ea50d-1247-4762-bb89-d0998c7bfd02,Capsule/Sinus/Medulla,2981.2,2227.9,5
11243,20_09_N2_R2,425c6c32-352f-46a2-9c80-2a20cf313c6d,Capsule/Sinus/Medulla,784.02,2228.3,5
11244,20_09_N2_R2,1fa08ba6-527f-4597-a3fb-efcd250f0770,Capsule/Sinus/Medulla,1564.1,2230.2,9
11245,20_09_N2_R2,83af54b7-fddd-41cb-af39-bd399a3143c0,Capsule/Sinus/Medulla,3204.0,2230.3,5
11246,20_09_N2_R2,0f2a3e2d-548b-4aa4-8b75-1347296a2198,Capsule/Sinus/Medulla,1110.1,2230.6,9
11247,20_09_N2_R2,485f6906-e242-4a97-b577-8dfeccdb0fdb,Capsule/Sinus/Medulla,846.53,2231.2,9
11248,20_09_N2_R2,cedd0845-b32b-476e-82ea-c484082293e4,Capsule/Sinus/Medulla,720.17,2232.8,5
11249,20_09_N2_R2,bb10a0e2-393a-4787-8953-93dbcc135de6,Capsule/Sinus/Medulla,2601.9,2238.4,9
11250,20_09_N2_R2,52490fc1-ea16-4153-9f95-dc306d10825a,Capsule/Sinus/Medulla,456.35,2239.3,5
11251,20_09_N2_R2,7894bc0d-3cf5-4913-a416-5e2e428e5469,Capsule/Sinus/Medulla,419.71,2241.4,5
11252,20_09_N2_R2,cdb0d64f-bb3c-4fd3-86fe-8d4a7ad4c7c1,Capsule/Sinus/Medulla,1817.3,2242.1,9
11253,20_09_N2_R2,0edf5784-78d5-495e-a6d5-2c35d5f34382,Capsule/Sinus/Medulla,2117.0,2242.3,9
11254,20_09_N2_R2,cca121d5-700f-4f59-8c7e-db346f5b1881,Capsule/Sinus/Medulla,3164.9,2242.4,9
11255,20_09_N2_R2,f225c45e-c0ce-4fac-b0e5-4e8c9e8a0b49,Capsule/Sinus/Medulla,2466.0,2242.6,9
11256,20_09_N2_R2,af8615f9-eac9-4465-889c-65a728e94a0f,Capsule/Sinus/Medulla,476.59,2244.0,5
11258,20_09_N2_R2,c68717fa-74dd-4743-a088-c6a7be4bf654,Capsule/Sinus/Medulla,825.96,2249.9,9
11259,20_09_N2_R2,4de9d121-9c30-44aa-a757-248cee560958,Capsule/Sinus/Medulla,1429.6,2251.5,5
11260,20_09_N2_R2,eeaa41ad-d6ba-4df9-8d7b-4bddc740be27,Capsule/Sinus/Medulla,2544.2,2254.1,9
